Name,Appointed By,Pres Party,Appointed,Died/Retired,Died or Retired?,Retired Party,Length in office,Length between Judge and successor
William Strong,Ulysses S Grant,Republican,2/18/1870,12/14/1880,Retired,Republican,3952,7
Robert Grier,James K Polk,Democrat,8/4/1846,1/31/1870,Retired,Republican,8581,18
Henry Baldwin,Andrew Jackson,Democrat,1/6/1830,4/21/1844,Died,Democrat,5219,835
Bushrod Washington,John Adams,Federalist,12/20/1798,11/26/1829,Died,Democrat,11298,41
James Wilson,George Washington,None,9/26/1789,8/21/1798,Died,Federalist,3251,121
,,,,,,,,
Samuel Alito,George W Bush,Republican,1/31/2006,In Office,In Office,,,
Sandra Day O'Connor,Ronald Reagan,Republican,9/25/1981,1/31/2006,Resigned,Republican,"8,894.00",0
Potter Stewart,Dwight D Eisenhower,Republican,10/14/1958,7/3/1981,Resigned,Republican,"8,298.00",84
Harold Hitz Burton,Harry Truman,Democrat,9/22/1945,10/13/1958,Resigned,Republican,"4,769.00",1
Owen Roberts,Herbert Hoover,Republican,5/20/1930,7/31/1945,Resigned,Democrat,"5,551.00",53
Edward Stanford,Warren G Harding,Republican,1/29/1923,3/8/1930,Died,Republican,"2,595.00",73
Mahlon Pitney,William Taft,Republican,3/13/1912,12/31/1922,Resigned,Republican,"3,945.00",29
John Marshall Harlan,Rutherford Hayes,Republican,11/29/1877,10/14/1911,Died,Republican,"12,371.00",151
David Davis,Arbraham Lincoln,Republican,10/17/1862,3/4/1877,Resigned,Republican,"5,252.00",270
John Campbell,Franklin Pierce,Democrat,3/22/1853,4/30/1861,Resigned,Republican,"2,961.00",535
John McKinley,Martin Van Buren,Democrat,4/22/1837,7/19/1852,Died,Democrat,"5,567.00",246
,,,,,,,,
Stephen Breyer,Bill Clinton,Democrat,8/3/1994,In Office,In Office,,,
Harry Blackmun,Richard Nixon,Republican,5/14/1970,8/3/1994,Resigned,Democrat,"8,847.00",0
Abe Fortas,Lyndon Johnson,Democrat,10/4/1965,5/14/1969,Resigned,Republican,"1,318.00",365
Arthur Goldberg,John F Kennedy,Democrat,9/28/1962,7/26/1965,Resigned,Democrat,"1,032.00",70
Felix Frankfurter,Franklin Roosevelt,Democrat,1/20/1939,8/28/1962,Resigned,Democrat,"8,621.00",31
Benjamin Cardozo,Herbert Hoover,Republican,3/2/1932,7/9/1938,Died,Democrat,"2,320.00",195
Oliver Wendell Holmes,Theodore Roosevelt,Republican,12/4/1902,1/12/1932,Resigned,Republican,"10,631.00",50
Horace Gray,Chester Arthur,Republican,1/9/1882,9/15/1902,Died,Republican,"7,553.00",80
Nathan Clifford,James Buchanan,Democrat,1/12/1858,7/25/1881,Died,Republican,"8,595.00",168
Benjamin Curtis,Millard Fillmore,Whig,10/10/1851,9/30/1857,Resigned,Democrat,"2,182.00",104
